Date,Day Name,Month,Year,Subways _Total _Ridership,Subways_%Prepandemic,Buses_Total_Ridership,Buses_%Prepandemic,AAR_Total_Ridership,AAR_%Prepandemic,Bridges&Tunnels_Total_Ridership,Bridges&Tunnels_%Prepandemic,LIRR_Total_Ridership,LIRR_%Prepandemic,MNR_Total_ Ridership,MNR_%Prepandemic,SIR_Total_ _Ridership,SIR_ %Prepandemic
7/3/2020,Friday,7,2020,851877,36,16862,2,10915,66,713240,81,56181,54,32049,30,1138,32
7/4/2020,Saturday,7,2020,591605,21,10769,1,8391,53,569212,62,38388,30,22085,14,690,14
7/5/2020,Sunday,7,2020,533692,23,9832,1,6280,38,659099,75,34569,33,19136,18,528,15
7/6/2020,Monday,7,2020,1084956,21,31548,2,14886,53,750583,78,63862,20,30556,11,2222,16
7/7/2020,Tuesday,7,2020,1157185,22,33595,2,16003,56,749832,78,61756,20,30507,11,2403,17
7/8/2020,Wednesday,7,2020,1172279,22,34242,2,16980,60,758208,79,63048,20,30174,11,2454,18
7/9/2020,Thursday,7,2020,1211280,23,34762,2,17017,60,818034,85,65483,21,31913,11,2571,19
7/10/2020,Friday,7,2020,1030632,20,25544,1,15738,56,712635,74,55929,18,29683,10,2117,15
7/11/2020,Saturday,7,2020,692977,25,12872,1,8453,53,625288,68,30059,24,18683,12,812,16
7/12/2020,Sunday,7,2020,628187,27,10966,1,7395,45,703589,80,34905,33,19859,19,731,20
7/13/2020,Monday,7,2020,1175700,22,33302,2,15928,56,756122,79,66384,21,31876,11,2504,18
7/14/2020,Tuesday,7,2020,1241080,24,35391,2,17081,60,794837,83,66321,21,31921,11,2669,19
7/15/2020,Wednesday,7,2020,1248413,24,34701,2,18149,64,803399,84,66549,21,32603,12,2751,20
7/16/2020,Thursday,7,2020,1249128,24,34199,2,17230,61,819850,85,66732,21,33258,12,2756,20
7/17/2020,Friday,7,2020,1207265,23,29696,1,16401,58,819471,85,64806,20,35414,13,2427,18
7/18/2020,Saturday,7,2020,778936,28,14335,1,9785,62,747444,81,41235,32,24071,16,786,15
7/19/2020,Sunday,7,2020,584994,25,9845,1,7052,43,696110,79,36429,35,18675,18,504,14
7/20/2020,Monday,7,2020,1156735,22,30196,1,15957,56,770606,80,67721,21,32279,11,2428,18
7/21/2020,Tuesday,7,2020,1241819,24,32482,2,16831,59,792954,82,67594,21,33213,12,2725,20
7/22/2020,Wednesday,7,2020,1233668,23,33863,2,17582,62,784013,82,65348,21,32485,11,2716,20
